bed1aus.txt		bed2aus.txt
Testfall 0
0				0
0				0
0				0
0				0
Testfall 1
3600			3600
1				1
0				0
0				0
Testfall 2
60				60.0
0				0.016666666666666666
1				0
0				0
Testfall 3
1				1.0
0				2.777777777777778E-4		
0				0.0
1				0.0
Testfall 4
5600			5600.0
1				1.5555555555555556
33				0.0
20				0.0
Testfall 5
-5600			-5600.0
-1				-1.5555555555555556
-33				0.0
-20				0.0
Testfall 6
1002			1002.0
0				0.2783333333333333
16				0.0
42				0.0
Testfall 7
55				55.0
0				0.015277777777777777
0				0.0
55				0.0
